id,name
75097,北极一
75097,太子
72607,北极二
72607,帝
70692,北极三
70692,庶子
69112,北极四
69112,后宫
62572,北极五
62572,天枢
62572,纽星
68956,庶子增二
73808,庶子增三
51384,四辅二
51502,四辅三
58874,四辅四?
47193,四辅增一
11767,勾陈一
11767,北极星
85822,勾陈二
82080,勾陈三
77055,勾陈四
5372,勾陈五
113116,勾陈六
112519,勾陈增一
115746,勾陈增二
37391,勾陈增四
84535,勾陈增五
85699,勾陈增六
76008,勾陈增七
79280,勾陈增八
79822,勾陈增九
79420,勾陈增十
109693,天皇大帝
102208,天柱一
104105,天柱二
98401,天柱三
94083,天柱四
88127,天柱五
94083,天柱增一
99255,天柱增二
101082,天柱增三
100965,天柱增四
88136,天柱增五
87234,天柱增六
94648,御女一
92112,御女二
85852,御女三
89937,御女四
87728,女史
86614,女史增一
89908,柱史
89594,柱史增一
89448,柱史增二
85805,尚书一
80650,尚书二
81660,尚书三
80161,尚书四?
82860,尚书五
86201,尚书增一
82898,尚书增二
69373,天床一
74605,天床二
77277,天床三
79414,天床四
73199,天床五
72181,天床六
73440,天床增一
74793,天床增二
59504,大理一
60044,大理增一
51808,阴德一
51808,阴德增一
51734,阴德二
32439,六甲一
33694,六甲二
39538,六甲三
36547,六甲四
23265,六甲五
25110,六甲六
24254,六甲增一
14417,五帝内座一
9727,五帝内座二
13055,五帝内座三
15547,五帝内座四
19461,五帝内座五
9727,五帝内座增一
5626,五帝内座增二
5947,五帝内座增三
7650,华盖二
5926,华盖三
5518,华盖四
6692,华盖五
7965,华盖六
9009,华盖七
17959,杠一
14862,杠二
9763,杠三
9802,杠四
9598,杠五
10031,杠六
9480,杠七
8016,杠八
7078,杠九
12273,杠增一
68756,紫微右垣一
68756,右枢
61281,紫微右垣二
61281,少尉
56211,紫微右垣三
56211,上辅
46977,紫微右垣四
46977,少辅
33104,紫微右垣五
33104,上卫
22783,紫微右垣六
22783,少卫
15520,紫微右垣七
15520,上丞
61384,少尉增一
60998,少尉增二
56583,上辅增一
57111,上辅增二
47654,少辅增一
29490,上卫增一
29997,上卫增二
32864,上卫增三
20266,少卫增一
17884,上丞增一
17587,上丞增二
18505,上丞增三
75458,紫微左垣一
75458,左枢
78527,紫微左垣二
78527,上宰
80331,紫微左垣三
80331,少宰
83895,紫微左垣四
83895,上弼
92782,紫微左垣五
92782,少弼
101260,紫微左垣六
101260,上卫
114222,紫微左垣七
114222,少卫
3721,紫微左垣八
3721,少丞
106032,上卫增一
107119,上卫增二
107230,上卫增三
107995,少卫增一
108535,少卫增二
109400,少卫增三
109434,少卫增四
111532,少卫增五
111532,少卫增六
111056,少卫增七
116727,少卫增八
3572,少丞增一
67627,天乙
66798,太乙
62423,内厨一
63076,内厨二
63432,内厨增一
61936,内厨增二
54061,北斗一
54061,天枢
53910,北斗二
53910,天璇
58001,北斗三
58001,天玑
59774,北斗四
59774,天权
62956,北斗五
62956,玉衡
65378,北斗六
65378,开阳
67301,北斗七
67301,摇光
50448,天枢增一
51401,天枢增二
52353,天枢增三
51459,天璇增一
51814,天璇增二
53064,天璇增三
52685,天璇增四
52478,天璇增五
52650,天璇增六
53043,天璇增七
53261,天璇增八
60978,天权增一
60212,天权增二
60795,天权增三
66634,开阳增二
65477,辅
65477,开阳增一
66738,辅增一
67231,辅增二
67848,辅增三
69481,天枪一
69713,天枪二
70497,天枪三
69068,天枪增一
70791,天枪增二
72524,天枪增三
73695,天枪增四
69732,玄戈
71618,玄戈增一
72487,玄戈增二
66234,三公二[紫微垣]
64906,三公三[紫微垣]
60485,相
59708,相增一
60122,相增二
62516,相增三
55060,天理一
55797,天理二
58181,天理三
58259,天理四
56035,天理增一
57399,太阳守
56789,太阳守增一
54539,太尊
53295,天牢一
56034,天牢二
53721,天牢三
56148,天牢四
53838,天牢五
55560,天牢六
56770,天牢增一
55266,天牢增二
51685,势一
51556,势二
52638,势三
53229,势四
51914,势增一
52139,势增二
51420,势增三
51233,势增四
51047,势增五
50857,势增六
50860,势增七
50935,势增八
51056,势增九
52032,势增十
52098,势增十一
53377,势增十二
53426,势增十三
52882,势增十四
52959,势增十五
52959,势增十六
50860,势增十七
50935,势增十八
51056,势增十九
48319,文昌二
48402,文昌三
46853,文昌四
44901,文昌五
45493,文昌六
47911,文昌增一
47965,文昌增二
46239,文昌增三
47006,文昌增四
45836,文昌增五
45974,文昌增六
48682,文昌增七
41704,内阶一
45333,内阶二
43903,内阶三
46733,内阶四
43644,内阶五
45455,内阶六
35785,内阶增一
35146,内阶增二
37609,内阶增三
40875,内阶增四
40646,内阶增五
42527,内阶增七
42080,内阶增八
42438,内阶增九
45075,内阶增十
44390,三师一
44857,三师三
45038,三师增一
28358,八谷一
27949,八谷二
27249,八谷三
24348,八谷四
23040,八谷五
23783,八谷六
23734,八谷七
27971,八谷八
22287,八谷增一
22994,八谷增二
22854,八谷增三
23783,八谷增四
28385,八谷增五
27949,八谷增六
27592,八谷增七
27283,八谷增八
26942,八谷增九
25973,八谷增十
25197,八谷增十一
24836,八谷增十二
23743,八谷增十三
23522,八谷增十四
26408,八谷增十五
26700,八谷增十六
27046,八谷增十七
27731,八谷增十八
29246,八谷增十九
29730,八谷增廿
29919,八谷增廿一
30278,八谷增廿二
31676,八谷增廿三
31763,八谷增廿四
30272,八谷增廿五
